model,precision@10,recall@10,ndcg@10,novelty@10,category_diversity@10
Adaptive Hierarchical Hybrid (tuned),0.0126286302309627,0.1262863023096272,0.0763035879535028,13.527039694156846,0.5029391667483366
Fixed Hybrid Seq+Category,0.0120855248113423,0.1208552481134232,0.0763354101688846,13.054506466646924,0.6403865803505638
Sequential Transition,0.0111994054424879,0.1119940544248799,0.073739759779206,13.095450775810544,0.7438815113666475
ItemKNN,0.0086782529156185,0.0867825291561856,0.0497598503688325,15.075813396493432,0.754566350513069
Category Popularity,0.0083180882689229,0.0831808826892293,0.0446635497537821,13.461526032720364,0.0901770968315674
GRU4Rec,0.0017265035444774,0.0172650354447747,0.0107050460786984,13.57906448507087,0.9381620259964644
Most Popular,0.0002515435627715,0.0025154356277155,0.0011131079155258,10.19772202851941,0.9555034682521536
Random,0.0,0.0,0.0,18.78574127603019,0.9950543377652914
