model,precision@10,recall@10,ndcg@10,novelty@10,category_diversity@10,catalog_coverage@10
Adaptive Hierarchical Hybrid (tuned),0.01144,0.1144,0.0685853341973163,13.59579734310256,0.5072774285714287,0.2299820943033357
Fixed Hybrid Seq+Category,0.01096,0.1096,0.0684923750960243,13.164272285103538,0.6231507936507936,0.2278864646196697
Sequential Transition,0.010252,0.10252,0.0664407522747261,13.23970568814302,0.7300868571428571,0.2560912527355925
ItemKNN,0.007908,0.07908,0.0443057207368049,15.419622496736428,0.740800507936508,0.3711055109755289
Category Popularity,0.0075,0.075,0.0399164763544848,13.50776104242313,0.0704533333333333,0.0593540685721864
GRU4Rec,0.001644,0.01644,0.0100091327838876,13.779713863739042,0.9306289206349206,0.1432124146163538
Most Popular,0.000216,0.00216,0.0009234866900749,10.19802752734504,0.9554604444444444,0.0001260030506001
Random,0.0,0.0,0.0,18.78458554157259,0.995095142857143,0.8098945553418662
